VitenskapeligNavn;VitenskapeligNavnAutor;NorskNavn;VitenskapeligNavnHierarki;Taksnomisk nivå;Ekspertgruppe;Vurderingsområde;AndelAvEuropeisk populasjon;Kategori2021;Kriterier2021
Fringilla montifringilla;Linnaeus, 1758;bjørkefink;Animalia/Chordata/Aves/Passeriformes/Fringillidae/Fringilla/montifringilla;art;Fugler (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Frullania oakesiana;Austin;oreblæremose;Plantae/Marchantiophyta/Jungermanniopsida/Porellales/Frullaniaceae/Frullania/oakesiana;art;Moser;Fastlands-Norge med havområder;25 - 50 %;EN;C2a(i)
Galerina fibrillosa;A.H. Sm.;;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Hymenogastraceae/Galerina/fibrillosa;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;D1
Gammarus inaequicauda;Stock, 1966;;Animalia/Arthropoda/Malacostraca/Amphipoda/Gammaridae/Gammarus/inaequicauda;art;Krepsdyr;Fastlands-Norge med havområder;25 - 50 %;VU;B2a((i))b(iii)
Gazoryctra uralensis;(Grum-Grshimailo, 1899);dvergbjørkroteter;Animalia/Arthropoda/Insecta/Lepidoptera/Hepialidae/Gazoryctra/uralensis;art;Sommerfugler;Fastlands-Norge med havområder;25 - 50 %;NT;B1a(ii)b(iii)+2a(ii)b(iii)
Gentiana purpurea;L.;søterot;Plantae/Magnoliophyta/Eudicots/Gentianales/Gentianaceae/Gentiana/purpurea;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Glaciarcula spitzbergensis;(Davidson, 1852);;Animalia/Brachiopoda/Rhynchonellata/Terebratulida/Laqueidae/Glaciarcula/spitzbergensis;art;Armfotinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Gnoriste longirostris;Siebke, 1863;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Gnoriste/longirostris;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Greenomyia stackelbergi;Zaitzev, 1982;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Greenomyia/stackelbergi;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;"B2a((i))b(iii,iv); D2"
Gulo gulo;(Linnaeus, 1758);jerv;Animalia/Chordata/Mammalia/Carnivora/Mustelidae/Gulo/gulo;art;Pattedyr (Norge);Fastlands-Norge med havområder;25 - 50 %;EN;D1
Gyalecta friesii;Körber;huldrelav;Fungi/Ascomycota/Lecanoromycetes/Ostropales/Gyalectaceae/Gyalecta/friesii;art;Laver;Fastlands-Norge med havområder;25 - 50 %;NT;"A2(c)+3(c)+4(c); C1"
Gyalecta peziza;(Mont.) Anzi;;Fungi/Ascomycota/Lecanoromycetes/Ostropales/Gyalectaceae/Gyalecta/peziza;art;Laver;Fastlands-Norge med havområder;25 - 50 %;EN;"C1; D1"
Gymnocolea borealis;(Frisvoll & Moen) R.M.Schust.;brundymose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Anastrophyllaceae/Gymnocolea/borealis;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Gymnomitrion alpinum;(Gottsche ex Husn.) Schiffn.;fjellhutremose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Gymnomitriaceae/Gymnomitrion/alpinum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;A3(c)
Halisotoma poseidonis;Bagnall, 1939;;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Halisotoma/poseidonis;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;LC;
Harrimanella hypnoides;(L.) Coville;moselyng;Plantae/Magnoliophyta/Eudicots/Ericales/Ericaceae/Harrimanella/hypnoides;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c)
Helvella hyperborea;Harmaja;nordlig pokalmorkel;Fungi/Ascomycota/Pezizomycetes/Pezizales/Helvellaceae/Helvella/hyperborea;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;D1
Herbertus norenus;D.G. Long, D. Bell & H.H. Blom;horngrimemose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Herbertaceae/Herbertus/norenus;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;D1
Heterodermia speciosa;(Wulfen) Trevis.;Elfenbenslav;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Physciaceae/Heterodermia/speciosa;art;Laver;Fastlands-Norge med havområder;25 - 50 %;EN;A2(a,c)
Heteromysis norvegica;G.O. Sars, 1883;;Animalia/Arthropoda/Malacostraca/Mysida/Mysidae/Heteromysis/norvegica;art;Krepsdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Hilara tenuinervis;Zetterstedt, 1838;;Animalia/Arthropoda/Insecta/Diptera/Empididae/Hilara/tenuinervis;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Hippuris lanceolata;Retz.;brakkhesterumpe;Plantae/Magnoliophyta/Eudicots/Lamiales/Plantaginaceae/Hippuris/lanceolata;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;VU;B2a((i))b(ii,iv,v)
Homalocephala angustata;(Wahlberg, 1838);;Animalia/Arthropoda/Insecta/Diptera/Ulidiidae/Homalocephala/angustata;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Huperzia appressa;(Bach.Pyl. ex Desv.) Á.Löve & D.Löve;fjell-lusegras;Plantae/Pteridophyta/Lycopsida/Lycopodiales/Lycopodiaceae/Huperzia/appressa;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Hydnellum auratile;(Britzelm.) Maas Geest.;flammebrunpigg;Fungi/Basidiomycota/Agaricomycetes/Thelephorales/Bankeraceae/Hydnellum/auratile;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;"B2a(i)b(ii,iii); C1+2a(i)"
Hydnellum compactum;(Pers. : Fr.) P. Karst.;mykbrunpigg;Fungi/Basidiomycota/Agaricomycetes/Thelephorales/Bankeraceae/Hydnellum/compactum;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;"B2a(i)b(ii,iii,iv); C2a(i)"
Hydnellum fennicum;(P. Karst.) E. Larss, K.H. Larss. & Kõljalg;marsipanstorpigg;Fungi/Basidiomycota/Agaricomycetes/Thelephorales/Bankeraceae/Hydnellum/fennicum;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;"A2(c)+3(c)+4(c); B2a((i))b(ii,iii,iv); C1+2a(i)"
Hydnellum gracilipes;(P. Karst.) P. Karst.;skyggebrunpigg;Fungi/Basidiomycota/Agaricomycetes/Thelephorales/Bankeraceae/Hydnellum/gracilipes;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;"B2a(i)b(ii,iii,iv); C1+2a(i)"
Hydnellum lundellii;(Maas Geest. & Nannf.) E. Larss., K.H. Larss. & Kõljalg;vrangstorpigg;Fungi/Basidiomycota/Agaricomycetes/Thelephorales/Bankeraceae/Hydnellum/lundellii;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;NT;"A2(c)+3(c)+4(c); C1"
Hydnellum martioflavum;(Snell, K.A. Harrison & H.A.C. Jacks.) E. Larss., K.H. Larss. & Kõljalg;ferskenstorpigg;Fungi/Basidiomycota/Agaricomycetes/Thelephorales/Bankeraceae/Hydnellum/martioflavum;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;C1
Hydnellum mirabile;(Fr.) P. Karst.;børstebrunpigg;Fungi/Basidiomycota/Agaricomycetes/Thelephorales/Bankeraceae/Hydnellum/mirabile;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;"B2a(i)b(ii,iii,iv); C1+2a(i)"
Hydrophorus altivagus;Aldrich, 1911;;Animalia/Arthropoda/Insecta/Diptera/Dolichopodidae/Hydrophorus/altivagus;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Hydrophorus pilipes;Frey, 1915;;Animalia/Arthropoda/Insecta/Diptera/Dolichopodidae/Hydrophorus/pilipes;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Hygrophorus inocybiformis;A.H. Sm.;mørkfibret vokssopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Hygrophoraceae/Hygrophorus/inocybiformis;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;C1
Hygrophorus purpurascens;(Alb. & Schwein. : Fr.) Fr.;slørvokssopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Hygrophoraceae/Hygrophorus/purpurascens;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;C1+2a(i)
Hygrophorus subviscifer;(P. Karst.) Harmaja;isabellavokssopp;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Hygrophoraceae/Hygrophorus/subviscifer;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;C1
Hymenoloma compactum;(Schwägr.) Ochyra;fjellputemose;Plantae/Bryophyta/Bryopsida/Dicranales/Hymenolomataceae/Hymenoloma/compactum;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;A3(c)
Hypnoidus consobrinus;(Mulsant & Guillebeau, 1855);elvesmeller;Animalia/Arthropoda/Insecta/Coleoptera/Elateridae/Hypnoidus/consobrinus;art;Biller;Fastlands-Norge med havområder;25 - 50 %;NT;B2b(iii)
Hypogastrura arctandria;Fjellberg, 1988;;Animalia/Arthropoda/Entognatha/Collembola/Hypogastruridae/Hypogastrura/arctandria;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;LC;
Hypogastrura lapponica;(Axelson, 1902);;Animalia/Arthropoda/Entognatha/Collembola/Hypogastruridae/Hypogastrura/lapponica;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;LC;
Hypogastrura litoralis;(Axelson, 1907);;Animalia/Arthropoda/Entognatha/Collembola/Hypogastruridae/Hypogastrura/litoralis;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;DD;
Impleta consorta;Plassmann, 1978;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Impleta/consorta;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;VU;B1a(i)b(iii)+2a(i)b(iii)
Javesella alpina;(J.Sahlberg, 1871);;Animalia/Arthropoda/Insecta/Hemiptera/Delphacidae/Javesella/alpina;art;Nebbmunner;Fastlands-Norge med havområder;25 - 50 %;LC;
Juncus arcticus;Willd.;finnmarkssiv;Plantae/Magnoliophyta/Monocots/Poales/Juncaceae/Juncus/arcticus;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Juncus biglumis;L.;tvillingsiv;Plantae/Magnoliophyta/Monocots/Poales/Juncaceae/Juncus/biglumis;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Juncus trifidus;L.;rabbesiv;Plantae/Magnoliophyta/Monocots/Poales/Juncaceae/Juncus/trifidus;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Kalmia procumbens;(L.) Gift, Kron & P.F.Stevens ex Galasso, Banfi & F.Conti;greplyng;Plantae/Magnoliophyta/Eudicots/Ericales/Ericaceae/Kalmia/procumbens;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Kiaeria falcata;(Hedw.) I.Hagen;sigdfrostmose;Plantae/Bryophyta/Bryopsida/Dicranales/Rhabdoweisiaceae/Kiaeria/falcata;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;A3(c)
Kiaeria glacialis;(Berggr.) I.Hagen;jøkelfrostmose;Plantae/Bryophyta/Bryopsida/Dicranales/Rhabdoweisiaceae/Kiaeria/glacialis;art;Moser;Fastlands-Norge med havområder;25 - 50 %;VU;A3(c)
Kiaeria riparia;(Lindb. ex H.Lindb.) M.F.V.Corley;brefrostmose;Plantae/Bryophyta/Bryopsida/Dicranales/Rhabdoweisiaceae/Kiaeria/riparia;art;Moser;Fastlands-Norge med havområder;25 - 50 %;EN;C2a(i)
Kiaeria starkei;(F.Weber & D.Mohr) I.Hagen;snøfrostmose;Plantae/Bryophyta/Bryopsida/Dicranales/Rhabdoweisiaceae/Kiaeria/starkei;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;A3(c)
Kneiffiella curvispora;(J. Erikss. & Hjortstam) Jülich & Stalpers;sigdsporeknorteskinn;Fungi/Basidiomycota/Agaricomycetes/Hymenochaetales/Schizoporaceae/Kneiffiella/curvispora;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;C2a(i)
Kukenthalia borealis;(Gottschaldt, 1894);nordkolonisekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Botryllidae/Kukenthalia/borealis;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Lagenorhynchus acutus;(Gray, 1828);kvitskjeving;Animalia/Chordata/Mammalia/Cetacea/Delphinidae/Lagenorhynchus/acutus;art;Pattedyr (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Lagopus lagopus;(Linnaeus, 1758);lirype;Animalia/Chordata/Aves/Galliformes/Tetraonidae/Lagopus/lagopus;art;Fugler (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Lappula deflexa;(Wahlenb.) Garcke;hengepiggfrø;Plantae/Magnoliophyta/Eudicots/Boraginales/Boraginaceae/Lappula/deflexa;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;VU;B2b(ii,iii,iv)c(iv)
Lasioglossum boreale;Svensson, Ebmer & Sakagami, 1977;fjelljordbie;Animalia/Arthropoda/Insecta/Hymenoptera/Halictidae/Lasioglossum/boreale;art;Vepser;Fastlands-Norge med havområder;25 - 50 %;LC;
Lauxania albomaculata;Strobl, 1909;;Animalia/Arthropoda/Insecta/Diptera/Lauxaniidae/Lauxania/albomaculata;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Lecidea roseotincta;Coppins & Tønsberg;vinlav;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Lecideaceae/Lecidea/roseotincta;art;Laver;Fastlands-Norge med havområder;25 - 50 %;LC;
Lepidozia pearsonii;Spruce;grannkrekmose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Lepidoziaceae/Lepidozia/pearsonii;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Leptodromiella crassiseta;(Tuomikoski, 1932);;Animalia/Arthropoda/Insecta/Diptera/Hybotidae/Leptodromiella/crassiseta;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;VU;B2a((i))b(iii)
Leptosporomyces mundus;(H.S. Jacks. & Dearden) Jülich;skyggespindelhinne;Fungi/Basidiomycota/Agaricomycetes/Atheliales/Atheliaceae/Leptosporomyces/mundus;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;EN;C2a(i)
Ligusticum scothicum;L.;strandkjeks;Plantae/Magnoliophyta/Eudicots/Apiales/Apiaceae/Ligusticum/scothicum;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Liparis montagui;(Donovan, 1804);kystringbuk;Animalia/Chordata/Actinopterygii/Scorpaeniformes/Liparidae/Liparis/montagui;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Lobaria hallii;(Tuck.) Zahlbr.;fossenever;Fungi/Ascomycota/Lecanoromycetes/Peltigerales/Lobariaceae/Lobaria/hallii;art;Laver;Fastlands-Norge med havområder;25 - 50 %;VU;"A2(a,c)+4(c); C1"
Lobothallia melanaspis;(Ach.) Hafellner;bekkeskiferlav;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Hymeneliaceae/Lobothallia/melanaspis;art;Laver;Fastlands-Norge med havområder;25 - 50 %;NT;A2(c)+3(c)+4(c)
Lonchoptera impicta;Zetterstedt, 1848;;Animalia/Arthropoda/Insecta/Diptera/Lonchopteridae/Lonchoptera/impicta;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Loxia pytyopsittacus;Borkhausen, 1793;furukorsnebb;Animalia/Chordata/Aves/Passeriformes/Fringillidae/Loxia/pytyopsittacus;art;Fugler (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Luzula arcuata;(Wahlenb.) Sw.;buefrytle;Plantae/Magnoliophyta/Monocots/Poales/Juncaceae/Luzula/arcuata;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Luzula confusa;Lindeb.;vardefrytle;Plantae/Magnoliophyta/Monocots/Poales/Juncaceae/Luzula/confusa;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Luzula nivalis;(Laest.) Spreng.;snøfrytle;Plantae/Magnoliophyta/Monocots/Poales/Juncaceae/Luzula/nivalis;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;VU;"A3(c,e); B2a((i))b(i,ii,iii,iv,v)"
Luzula parviflora;(Ehrh.) Desv.;hengefrytle;Plantae/Magnoliophyta/Monocots/Poales/Juncaceae/Luzula/parviflora;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Luzula wahlenbergii;Rupr.;reinfrytle;Plantae/Magnoliophyta/Monocots/Poales/Juncaceae/Luzula/wahlenbergii;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Lycodes gracilis;Sars, 1867;vanlig ålebrosme;Animalia/Chordata/Actinopterygii/Perciformes/Zoarcidae/Lycodes/gracilis;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Lycoperdon altimontanum;Kreisel;;Fungi/Basidiomycota/Agaricomycetes/Agaricales/Agaricaceae/Lycoperdon/altimontanum;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;DD;
Lyonsia arenosa;(Møller, 1842);;Animalia/Mollusca/Bivalvia/Anomalodesmata/Lyonsiidae/Lyonsia/arenosa;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Macandrevia cranium;(O.F. Müller, 1776);bulldogskjell;Animalia/Brachiopoda/Rhynchonellata/Terebratulida/Zeilleriidae/Macandrevia/cranium;art;Armfotinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Macrocera summatis;Vockeroth, 1976;;Animalia/Arthropoda/Insecta/Diptera/Keroplatidae/Macrocera/summatis;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;DD;
Macrourus berglax;Lacepède, 1801;isgalt;Animalia/Chordata/Actinopterygii/Gadiformes/Macrouridae/Macrourus/berglax;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Margaritifera margaritifera;(Linnaeus, 1758);elvemusling;Animalia/Mollusca/Bivalvia/Unionoida/Margaritiferidae/Margaritifera/margaritifera;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;VU;A2(c,d)
Marisotoma canaliculata;Fjellberg, 1997;;Animalia/Arthropoda/Entognatha/Collembola/Isotomidae/Marisotoma/canaliculata;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;LC;
Marsupella apiculata;Schiffn.;broddåmemose;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Gymnomitriaceae/Marsupella/apiculata;art;Moser;Fastlands-Norge med havområder;25 - 50 %;NT;A3(c)+4(c)
Megaphorura arctica;(Tullberg, 1876);;Animalia/Arthropoda/Entognatha/Collembola/Onychiuridae/Megaphorura/arctica;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;LC;
Melanella laurae;Friele, 1886);;Animalia/Mollusca/Gastropoda/Eulimoidea/Eulimidae/Melanella/laurae;art;Bløtdyr;Fastlands-Norge med havområder;25 - 50 %;DD;
Melangyna coei;Nielsen, 1971;fjellkrattblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Melangyna/coei;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Melangyna ericarum;(Collin, 1946);lyngkrattblomsterflue;Animalia/Arthropoda/Insecta/Diptera/Syrphidae/Melangyna/ericarum;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B2b(i,ii,iii)
Mertensia maritima;(L.) Gray;østersurt;Plantae/Magnoliophyta/Eudicots/Boraginales/Boraginaceae/Mertensia/maritima;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A2(b,c)
Mesaphorura petterdassi;(Fjellberg, 1988);;Animalia/Arthropoda/Entognatha/Collembola/Onychiuridae/Mesaphorura/petterdassi;art;Spretthaler;Fastlands-Norge med havområder;25 - 50 %;NT;D2
Mesoptychia rutheana;(Limpr.) L. Söderstr. & Vána;praktflik;Plantae/Marchantiophyta/Jungermanniopsida/Jungermanniales/Mesoptychiaceae/Mesoptychia/rutheana;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Metacapnodium dingleyae;S. Hughes;;Fungi/Ascomycota/Dothideomycetes/Capnodiales/Metacapnodiaceae/Metacapnodium/dingleyae;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;C1
Metzgeria pubescens;(Schrank) Raddi;skjerfmose;Plantae/Marchantiophyta/Jungermanniopsida/Metzgeriales/Metzgeriaceae/Metzgeria/pubescens;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Micranthes hieraciifolia;(Waldst. & Kit. ex Willd.) Haw.;stivsildre;Plantae/Magnoliophyta/Eudicots/Saxifragales/Saxifragaceae/Micranthes/hieraciifolia;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;EN;B2a(i)b(i,ii,iii,v)
Micranthes tenuis;(Wahlenb.) Small;grannsildre;Plantae/Magnoliophyta/Eudicots/Saxifragales/Saxifragaceae/Micranthes/tenuis;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A2(a,c)+3(c,e)
Micrenophrys lilljeborgii;(Collett, 1875);piggulke;Animalia/Chordata/Actinopterygii/Scorpaeniformes/Cottidae/Micrenophrys/lilljeborgii;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Microcosmus glacialis;(M. Sars, 1859);issekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Pyuridae/Microcosmus/glacialis;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Microglossum atropurpureum;(Batsch: Fr.) P. Karst.;vrangjordtunge;Fungi/Ascomycota/Leotiomycetes/Helotiales/Geoglossaceae/Microglossum/atropurpureum;art;Sopper;Fastlands-Norge med havområder;25 - 50 %;VU;A2(c)+4(c)
Micromesistius poutassou;(Risso, 1827);kolmule;Animalia/Chordata/Actinopterygii/Gadiformes/Gadidae/Micromesistius/poutassou;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Mielichhoferia elongata;(Hoppe & Hornsch. ex Hook.) Hornsch.;kopperkismose;Plantae/Bryophyta/Bryopsida/Bryales/Mniaceae/Mielichhoferia/elongata;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Mielichhoferia mielichhoferiana;(Funck) Loeske;sigdkismose;Plantae/Bryophyta/Bryopsida/Bryales/Mniaceae/Mielichhoferia/mielichhoferiana;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Minuartia biflora;(L.) Schinz & Thell.;tuearve;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Minuartia/biflora;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;LC;
Minuartia rubella;(Wahlenb.) Hiern;nålearve;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Minuartia/rubella;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;"A3(c,e); B2b(i,ii,iii,v)"
Minuartia stricta;(Sw.) Hiern;grannarve;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Minuartia/stricta;art;Karplanter (Norge);Fastlands-Norge med havområder;25 - 50 %;NT;A3(c,e)
Miriquidica majae;Tønsberg;;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Lecanoraceae/Miriquidica/majae;art;Laver;Fastlands-Norge med havområder;25 - 50 %;VU;C1
Miriquidica pulvinatula;(Arnold) Hertel & Rambold;kobbergranittlav;Fungi/Ascomycota/Lecanoromycetes/Lecanorales/Lecanoraceae/Miriquidica/pulvinatula;art;Laver;Fastlands-Norge med havområder;25 - 50 %;VU;"C1; D1"
Mnium blyttii;Bruch & Schimp.;blåtornemose;Plantae/Bryophyta/Bryopsida/Bryales/Mniaceae/Mnium/blyttii;art;Moser;Fastlands-Norge med havområder;25 - 50 %;LC;
Molgula citrina;Alder & Hancock, 1848;sitronsekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Molgulidae/Molgula/citrina;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Molgula griffithsii;(MacLeay, 1825);griffithssekkdyr;Animalia/Chordata/Ascidiacea/Pleurogona/Molgulidae/Molgula/griffithsii;art;Sekkdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Molva molva;(Linnaeus, 1758);lange;Animalia/Chordata/Actinopterygii/Gadiformes/Gadidae/Molva/molva;art;Fisker;Fastlands-Norge med havområder;25 - 50 %;LC;
Mougeotia olivacea;Y. J. Ling;;Plantae/Streptophyta/Zygnematophyceae/Zygnematales/Zygnemataceae/Mougeotia/olivacea;art;Alger;Fastlands-Norge med havområder;25 - 50 %;VU;D2
Mycetophila gemerensis;Sevcik & Kurina, 2011;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Mycetophila/gemerensis;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B1a(ii)b(iii)+2a(ii)b(iii)
Mycetophila gentilicia;Zaitzev, 1999;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Mycetophila/gentilicia;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Mycetophila haruspica;Plassmann, 1990;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Mycetophila/haruspica;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;LC;
Mycetophila vivida;Plassmann & Schacht, 1999;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Mycetophila/vivida;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;VU;B2a(i)b(iii)
Mycomya indistincta;Polevoi, 1995;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Mycomya/indistincta;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B2a((i))b(iii)
Mycomya kuusamoensis;Väisänen, 1979;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Mycomya/kuusamoensis;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;NT;B1a((i))b(iii)+2a((i))b(iii)
Mycomya simulans;Vaisanen, 1984;;Animalia/Arthropoda/Insecta/Diptera/Mycetophilidae/Mycomya/simulans;art;Tovinger;Fastlands-Norge med havområder;25 - 50 %;VU;B2a(i)b(iii)
Mysideis insignis;(G.O. Sars, 1864);;Animalia/Arthropoda/Malacostraca/Mysida/Mysidae/Mysideis/insignis;art;Krepsdyr;Fastlands-Norge med havområder;25 - 50 %;LC;
Nemoura arctica;Esben-Petersen, 1910;;Animalia/Arthropoda/Insecta/Plecoptera/Nemouridae/Nemoura/arctica;art;Døgnfluer, øyenstikkere, steinfluer, vårfluer;Fastlands-Norge med havområder;25 - 50 %;LC;
Nemoura viki;Lillehammer, 1972;;Animalia/Arthropoda/Insecta/Plecoptera/Nemouridae/Nemoura/viki;art;Døgnfluer, øyenstikkere, steinfluer, vårfluer;Fastlands-Norge med havområder;25 - 50 %;LC;
Neohypdonus arcticus;(Candeze, 1860);grussmeller;Animalia/Arthropoda/Insecta/Coleoptera/Elateridae/Neohypdonus/arcticus;art;Biller;Fastlands-Norge med havområder;25 - 50 %;LC;
