VitenskapeligNavn;VitenskapeligNavnAutor;NorskNavn;VitenskapeligNavnHierarki;Taksnomisk nivå;Ekspertgruppe;Vurderingsområde;AndelAvEuropeisk populasjon;Kategori2021;Kriterier2021
Campanula uniflora;L.;høyfjellsklokke;Plantae/Magnoliophyta/Eudicots/Asterales/Campanulaceae/Campanula/uniflora;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;NT;A3(c,e)
Campylophyllum montanum;(Lindb.) B.H.Allen;huldrebekkemose;Plantae/Bryophyta/Bryopsida/Hypnales/Amblystegiaceae/Campylophyllum/montanum;art;Moser;Fastlands-Norge med havområder;> 50 %;EN;C2a(i)
Carex ×salina;Wahlenb.;fjærestarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/×salina;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Carex arctogena;Harry Sm.;reinstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/arctogena;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;A3(b,c)
Carex glareosa;Wahlenb.;grusstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/glareosa;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Carex holostoma;Drejer;kløftstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/holostoma;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;A3(c)
Carex paleacea;Schreb. ex Wahlenb.;havstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/paleacea;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Carex parallela;(Laest.) Sommerf.;smalstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/parallela;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;A3(c,e)
Carex quasibergrothii;Elven ined.;evjestarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/quasibergrothii;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;B1a((i))b(iii,iv,v)+2a((i))b(iii,iv,v)
Carex scirpoidea;Michx.;grønlandsstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/scirpoidea;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;EN;B2a(i)b(iii)
Carex stylosa;C.A.Mey.;griffelstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/stylosa;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Carex subspathacea;Wormsk.;ishavsstarr;Plantae/Magnoliophyta/Monocots/Poales/Cyperaceae/Carex/subspathacea;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;LC;
Cassiope tetragona;(L.) D.Don;kantlyng;Plantae/Magnoliophyta/Eudicots/Ericales/Ericaceae/Cassiope/tetragona;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;VU;A3(c,e)
Cerastium ×blyttii;Baen.;blyttarve;Plantae/Magnoliophyta/Eudicots/Caryophyllales/Caryophyllaceae/Cerastium/×blyttii;art;Karplanter (Norge);Fastlands-Norge med havområder;> 50 %;CR;"A4(c,e); C1+2a(ii); D1"
