"acceptedScientificName","taxa"
"Bacidia inundata (Fr.) Körb.","lichens"
"Bacidia laurocerasi (Delise ex Duby) Zahlbr.","lichens"
"Bacidia luridoglaucella Vain.","lichens"
"Bacidia lyngeana Erichsen","lichens"
"Bacidia naegelii (Hepp) Zahlbr.","lichens"
"Bacidia phacodes Körb.","lichens"
"Bacidia rosella (Pers.) De Not.","lichens"
"Bacidia rubella (Hoffm.) A.Massal.","lichens"
"Bacidia scopulicola (Nyl.) A.L.Sm.","lichens"
"Bacidia subacerina Vain.","lichens"
"Bacidia subarctoa Th.Fr.","lichens"
"Bacidia subfuscula (Nyl.) Th.Fr.","lichens"
"Bacidia subincompta (Nyl.) Arnold","lichens"
"Bacidia trachona (Ach.) Lettau","lichens"
"Bacidia verecundula (Th.Fr.) H.Magn.","lichens"
"Bacidia viridifarinosa Coppins & P.James","lichens"
"Bactrospora corticola (Fr. ex Nyl.) Almq.","lichens"
"Bactrospora homalotropa (Nyl.) Egea & Torrente","lichens"
"Baeomyces carneus Flörke","lichens"
"Baeomyces placophyllus Ach.","lichens"
"Baeomyces rufus (Huds.) Rebent.","lichens"
"Bagliettoa parmigera (J.Steiner) Vĕzda & Poelt","lichens"
"Bellemerea alpina (Sommerf.) Clauzade & Cl.Roux","lichens"
"Bellemerea cinereorufescens (Ach.) Clauzade & Cl.Roux","lichens"
"Bellemerea diamarta (Ach.) Hafellner & Cl.Roux","lichens"
"Bellemerea subsorediza (Lynge ex E.Dahl) R.Sant.","lichens"
"Belonia incarnata Th.Fr. & Graewe","lichens"
"Belonia nidarosiensis (Kindt) P.M.Jørg. & Vĕzda","lichens"
"Belonia russula Körb. ex Nyl.","lichens"
"Biatora albohyalina (Nyl.) Bagl. & Carestia","lichens"
"Biatora carneoalbida (Müll.Arg.) Coppins","lichens"
"Biatora chrysantha (Zahlbr.) Printzen","lichens"
"Biatora cuprea (Sommerf.) Fr.","lichens"
"Biatora efflorescens (Hedl.) Räsänen","lichens"
"Biatora epixanthoides (Nyl.) Diederich","lichens"
"Biatora fallax Hepp","lichens"
"Biatora flavopunctata (Tønsberg) Hinter. & Printzen","lichens"
"Biatora helvola Körb. ex Hellb.","lichens"
"Biatora meiocarpa (Nyl.) Arnold","lichens"
"Biatora ocelliformis (Nyl.) Arnold","lichens"
"Biatora pallens (Kullh.) Zahlbr.","lichens"
"Biatora porphyroplaca Hinter. & Poelt","lichens"
"Biatora rufidula (Graewe) S.Ekman & Printzen","lichens"
"Biatora sphaeroides (Dicks.) Körb.","lichens"
"Biatora sphaeroidiza (Vain.) Printzen & Holien","lichens"
"Biatora subduplex (Nyl.) Printzen","lichens"
"Biatora toensbergii Holien & Printzen","lichens"
"Biatora vacciniicola (Tønsberg) Printzen","lichens"
"Biatora vernalis (L.) Fr.","lichens"
"Biatorella conspurcans Norman","lichens"
"Biatorella hemisphaerica Anzi","lichens"
"Biatoridium monasteriense J.Lahm","lichens"
"Brigantiaea fuscolutea (Dicks.) R.Sant.","lichens"
"Brodoa atrofusca (Schaer.) Goward","lichens"
"Brodoa intestiniformis (Vill.) Goward","lichens"
"Brodoa oroarctica (Krog) Goward","lichens"
"Bryocaulon divergens (Ach.) Kärnefelt","lichens"
"Bryonora castanea (Hepp) Poelt","lichens"
"Bryonora curvescens (Mudd) Poelt","lichens"
"Bryonora pruinosa (Th.Fr.) Holt.-Hartw.","lichens"
"Bryonora rhypariza (Nyl.) Poelt","lichens"
"Bryonora septentrionalis Holt.-Hartw.","lichens"
"Bryophagus gloeocapsa Nitschke ex Arnold","lichens"
"Bryoria americana (Motyka) Holien","lichens"
"Bryoria bicolor (Hoffm.) Brodo & D.Hawksw.","lichens"
"Bryoria capillaris (Ach.) Brodo & D.Hawksw.","lichens"
"Bryoria chalybeiformis (L.) Brodo & D.Hawksw.","lichens"
"Bryoria fremontii (Tuck.) Brodo & Hawksw.","lichens"
"Bryoria furcellata (Fr.) Brodo & D.Hawksw.","lichens"
"Bryoria fuscescens (Gyeln.) Brodo & D.Hawksw.","lichens"
"Bryoria glabra (Motyka) Brodo & D.Hawksw.","lichens"
"Bryoria implexa (Hoffm.) Brodo & D.Hawksw.","lichens"
"Bryoria intricans (Vain.) Brodo & D.Hawksw.","lichens"
"Bryoria lanestris (Ach.) Brodo & D.Hawksw.","lichens"
"Bryoria nadvornikiana (Gyeln.) Brodo & D.Hawksw.","lichens"
"Bryoria nitidula (Th.Fr.) Brodo & D.Hawksw.","lichens"
"Bryoria simplicior (Vain.) Brodo & D.Hawksw.","lichens"
"Bryoria smithii (Du Rietz) Brodo & D.Hawksw.","lichens"
"Bryoria subcana (Nyl. ex Stizenb.) Brodo & D.Hawksw.","lichens"
"Bryoria tenuis (E.Dahl) Brodo & D.Hawksw.","lichens"
"Bryoria tortuosa (Merr.) Brodo & D.Hawksw.","lichens"
"Buellia aethalea (Ach.) Th.Fr.","lichens"
"Buellia alboatra (Hoffm.) Th.Fr.","lichens"
"Buellia ambigua (Ach.) Malme","lichens"
"Buellia arborea Coppins & Tønsberg","lichens"
"Buellia arnoldii Servít","lichens"
"Buellia asterella Poelt & Sulzer","lichens"
"Buellia badia (Fr.) A.Massal.","lichens"
"Buellia concinna Th.Fr.","lichens"
"Buellia disciformis (Fr.) Mudd","lichens"
"Buellia ectolechioides (Vain.) Erichsen","lichens"
"Buellia elegans Poelt","lichens"
"Buellia epigaea (Pers.) Tuck.","lichens"
"Buellia epipolia (Ach.) Mong.","lichens"
"Buellia erubescens Arnold","lichens"
"Buellia geophila (Flörke ex Sommerf.) Lynge","lichens"
"Buellia griseovirens (Turner & Borrer ex Sm.) Almb.","lichens"
"Buellia insignis (Hepp) Th.Fr.","lichens"
"Buellia jugorum (Arnold) Arnold","lichens"
"Buellia leptocline (Flot.) A.Massal.","lichens"
"Buellia miriquidica Scheid.","lichens"
"Buellia nivalis (Bagl. & Carestia) Hertel","lichens"
"Buellia papillata (Sommerf.) Tuck.","lichens"
"Buellia pulverulenta (Anzi) Jatta","lichens"
"Buellia schaereri De Not.","lichens"
"Buellia stellulata (Taylor) Mudd","lichens"
"Buellia tesserata Körb.","lichens"
"Buellia thioconis Norman","lichens"
"Buellia triphragmia (Nyl.) Arnold","lichens"
"Buellia triphragmioides Anzi","lichens"
"Buellia uberior Anzi","lichens"
"Buellia venusta (Körb.) Lettau","lichens"
"Buellia vilis Th.Fr., 1867","lichens"
"Bunodophoron melanocarpum (Sw.) Wedin","lichens"
"Calicium abietinum Pers.","lichens"
"Calicium adaequatum Nyl.","lichens"
"Calicium adspersum Pers.","lichens"
"Calicium corynellum (Ach.) Ach.","lichens"
"Calicium denigratum (Vain.) Tibell","lichens"
"Calicium glaucellum Ach.","lichens"
"Calicium lenticulare Ach.","lichens"
"Calicium lichenoides (L.) Schumach.","lichens"
"Calicium parvum Tibell","lichens"
"Calicium quercinum Pers.","lichens"
"Calicium trabinellum (Ach.) Ach.","lichens"
"Calicium viride Pers.","lichens"
"Caloplaca ahtii Søchting","lichens"
"Caloplaca alcarum Poelt","lichens"
"Caloplaca ammiospila (Wahlenb. ex Ach.) H.Olivier","lichens"
"Caloplaca approximata (Lynge) H.Magn.","lichens"
"Caloplaca aractina (Fr.) Häyrén","lichens"
"Caloplaca arenaria (Pers.) Müll.Arg.","lichens"
"Caloplaca atroflava (Turner) Mong.","lichens"
"Caloplaca biatorina (A.Massal.) J.Steiner","lichens"
"Caloplaca borealis (Vain.) Poelt","lichens"
"Caloplaca caesiorufella (Nyl.) Zahlbr.","lichens"
"Caloplaca castellana (Räsänen) Poelt","lichens"
"Caloplaca cerina (Hedw.) Th.Fr.","lichens"
"Caloplaca cerinella (Nyl.) Flagey","lichens"
"Caloplaca cerinelloides (Erichsen) Poelt","lichens"
"Caloplaca chlorina (Flot.) H.Olivier","lichens"
"Caloplaca chrysodeta (Vain.) Dombr.","lichens"
"Caloplaca cirrochroa (Ach.) Th.Fr.","lichens"
"Caloplaca citrina (Hoffm.) Th.Fr.","lichens"
"Caloplaca concilians (Nyl.) H.Olivier","lichens"
"Caloplaca coronata (Kremp. ex Körb.) J.Steiner","lichens"
"Caloplaca crenularia (With.) J.R.Laundon","lichens"
"Caloplaca decipiens (Arnold) Blomb. & Forssell","lichens"
"Caloplaca diphyodes (Nyl.) Jatta","lichens"
"Caloplaca dolomiticola Zahlbr.","lichens"
"Caloplaca dovrensis (H.Magn.) Degel.","lichens"
"Caloplaca epiphyta Lynge","lichens"
"Caloplaca epithallina Lynge","lichens"
"Caloplaca erythrocarpa (Pers.) Zwackh","lichens"
"Caloplaca exsecuta (Nyl.) Dalla Torre & Sarnth.","lichens"
"Caloplaca ferruginea (Huds.) Th.Fr.","lichens"
"Caloplaca flavescens (Huds.) J.R.Laundon","lichens"
"Caloplaca flavorubescens (Huds.) J.R.Laundon","lichens"
"Caloplaca flavovirescens (Wulfen) Dalla Torre & Sarnth.","lichens"
"Caloplaca fraudans (Th.Fr.) H.Olivier","lichens"
"Caloplaca furfuracea H.Magn.","lichens"
"Caloplaca grimmiae (Nyl.) H.Olivier","lichens"
"Caloplaca havaasii H.Magn.","lichens"
"Caloplaca herbidella (Hue) H.Magn.","lichens"
"Caloplaca holocarpa (Hoffm.) A.E.Wade","lichens"
"Caloplaca jungermanniae (Vahl) Th.Fr.","lichens"
"Caloplaca lactea (A.Massal.) Zahlbr.","lichens"
"Caloplaca latispora (Lynge) H.Magn.","lichens"
"Caloplaca livida (Hepp) Jatta","lichens"
"Caloplaca luteoalba (Turner) Th.Fr.","lichens"
"Caloplaca magni-filii Poelt","lichens"
"Caloplaca marina (Wedd.) Zahlbr.","lichens"
"Caloplaca microthallina (Wedd.) Zahlbr.","lichens"
"Caloplaca nivalis (Körb.) Th.Fr.","lichens"
"Caloplaca obliterans (Nyl.) Blomb. & Forssell","lichens"
"Caloplaca obscurella (J.Lahm ex Körb.) Th.Fr.","lichens"
"Caloplaca percrocata (Arnold) J.Steiner","lichens"
"Caloplaca phaeocarpella (Nyl.) Zahlbr.","lichens"
"Caloplaca saxicola (Hoffm.) Nordin","lichens"
"Caloplaca scopularis (Nyl.) Lettau","lichens"
"Caloplaca scotoplaca (Nyl.) H.Magn.","lichens"
"Caloplaca sinapisperma (DC.) Maheu & A.Gillet","lichens"
"Caloplaca sorocarpa (Vain.) Zahlbr.","lichens"
"Caloplaca subpallida H.Magn.","lichens"
"Caloplaca tetraspora (Nyl.) H.Olivier","lichens"
"Caloplaca thallincola (Wedd.) Du Rietz","lichens"
"Caloplaca tiroliensis Zahlbr.","lichens"
"Caloplaca tominii Sav.","lichens"
"Caloplaca tornoensis H.Magn.","lichens"
"Caloplaca tromsoeënsis H.Magn.","lichens"
"Caloplaca ulcerosa Coppins & P.James","lichens"
"Caloplaca verruculifera (Vain.) Zahlbr.","lichens"
"Caloplaca vitellinula (Nyl.) H.Olivier","lichens"
"Candelaria concolor (Dicks.) Stein","lichens"
"Candelariella arctica (Körb.) R.Sant.","lichens"
"Candelariella athallina (Wedd.) Du Rietz","lichens"
"Candelariella aurella (Hoffm.) Zahlbr.","lichens"
"Candelariella coralliza (Nyl.) H.Magn.","lichens"
"Candelariella kuusamoënsis Räsänen","lichens"
"Candelariella lutella (Vain.) Räsänen","lichens"
"Candelariella margaretae Hakul.","lichens"
"Candelariella placodizans (Nyl.) H.Magn., 1935","lichens"
"Candelariella reflexa (Nyl.) Lettau","lichens"
"Candelariella vainioana Hakul.","lichens"
"Candelariella vitellina (Hoffm.) Müll.Arg.","lichens"
"Candelariella xanthostigma (Pers. ex Ach.) Lettau","lichens"
"Carbonea assimilis (Hampe ex Körb.) Hafellner & Hertel","lichens"
"Carbonea atronivea (Arnold) Hertel","lichens"
"Carbonea intrusa (Th.Fr.) Rambold & Triebel","lichens"
"Carbonea vorticosa (Flörke) Hertel","lichens"
"Catapyrenium cinereum (Pers.) Körb.","lichens"
"Catapyrenium daedaleum (Körb.) Stein","lichens"
"Catapyrenium lachneum (Ach.) R.Sant.","lichens"
"Catapyrenium norvegicum Breuss","lichens"
"Catapyrenium pilosellum Breuss","lichens"
"Catapyrenium rufescens (Ach.) Breuss","lichens"
"Catapyrenium waltheri (Kremp.) Körb.","lichens"
"Catillaria atomarioides (Müll.Arg.) H.Kilias","lichens"
"Catillaria chalybeia (Borrer) A.Massal.","lichens"
"Catillaria contristans (Nyl.) Zahlbr.","lichens"
"Catillaria epigaeella (Nyl.) Th.Fr.","lichens"
"Catillaria erysiboides (Nyl.) Th.Fr.","lichens"
"Catillaria lenticularis (Ach.) Th.Fr.","lichens"
"Catillaria nigroclavata (Nyl.) Schuler","lichens"
"Catinaria atropurpurea (Schaer.) Vĕzda & Poelt","lichens"
"Catinaria neuschildii (Körb.) P.James","lichens"
"Catolechia wahlenbergii (Ach.) Körb.","lichens"
"Cavernularia hultenii Degel.","lichens"
"Celothelium ischnobelum (Nyl.) M.B.Aguirre","lichens"
"Cephalophysis leucospila (Anzi) H.Kilias & Scheid.","lichens"
"Cetraria aculeata (Schreb.) Fr.","lichens"
"Cetraria chlorophylla (Willd.) Vain.","lichens"
"Cetraria cucullata (Bellardi) Ach.","lichens"
"Cetraria ericetorum Opiz","lichens"
"Cetraria islandica (L.) Ach.","lichens"
"Cetraria muricata (Ach.) Eckfeldt","lichens"
"Cetraria nigricans Nyl.","lichens"
"Cetraria nivalis (L.) Ach.","lichens"
"Cetraria odontella (Ach.) Ach.","lichens"
"Cetraria sepincola (Ehrh.) Ach.","lichens"
"Cetrariella delisei (Bory ex Schaer.) Kärnefelt & A.Thell","lichens"
"Cetrariella fastigiata (Delise ex Nyl.) Kärnefelt & A.Thell","lichens"
"Cetrelia olivetorum (Nyl.) W.L.Culb. & C.F.Culb.","lichens"
"Chaenotheca brachypoda (Ach.) Tibell","lichens"
"Chaenotheca brunneola (Ach.) Müll.Arg.","lichens"
"Chaenotheca chlorella (Ach.) Müll.Arg.","lichens"
"Chaenotheca chrysocephala (Ach.) Th.Fr.","lichens"
"Chaenotheca cinerea (Pers.) Tibell","lichens"
"Chaenotheca ferruginea (Turner ex Sm.) Mig.","lichens"
"Chaenotheca furfuracea (L.) Tibell","lichens"
"Chaenotheca gracillima (Vain.) Tibell","lichens"
"Chaenotheca laevigata Nádv.","lichens"
"Chaenotheca phaeocephala (Turner) Th.Fr.","lichens"
"Chaenotheca stemonea (Ach.) Müll.Arg.","lichens"
"Chaenotheca subroscida (Eitner) Zahlbr.","lichens"
"Chaenotheca trichialis (Ach.) Th.Fr.","lichens"
"Chaenotheca xyloxena Nádv.","lichens"
"Chromatochlamys muscorum (Th.Fr.) H.Mayrhofer & Poelt","lichens"
"Chrysothrix candelaris (L.) J.R.Laundon","lichens"
"Chrysothrix chlorina (Ach.) J.R.Laundon","lichens"
"Chrysothrix chrysophthalma (P.James) P.James & J.R.Laundon","lichens"
"Chrysothrix flavovirens Tønsberg","lichens"
"Cladonia acuminata (Ach.) Norrl.","lichens"
"Cladonia alpina (Asahina) Yoshim.","lichens"
"Cladonia amaurocraea (Flörke) Schaer.","lichens"
"Cladonia arbuscula (Wallr.) Flot.","lichens"
"Cladonia asahinae J.W.Thomson","lichens"
"Cladonia bacilliformis (Nyl.) Glück","lichens"
"Cladonia bellidiflora (Ach.) Schaer.","lichens"
"Cladonia borealis S.Stenroos","lichens"
"Cladonia botrytes (K.G.Hagen) Willd.","lichens"
"Cladonia caespiticia (Pers.) Flörke","lichens"
"Cladonia cariosa (Lilj.) Spreng.","lichens"
"Cladonia carneola (Fr.) Fr.","lichens"
"Cladonia cenotea (Ach.) Schaer.","lichens"
"Cladonia cervicornis (Ach.) Flot.","lichens"
"Cladonia chlorophaea (Flörke ex Sommerf.) Spreng.","lichens"
"Cladonia ciliata Stirt.","lichens"
"Cladonia coccifera (L.) Willd.","lichens"
"Cladonia coniocraea (Flörke) Spreng.","lichens"
"Cladonia conista Robbins ex A.Evans","lichens"
"Cladonia cornuta (L.) Hoffm.","lichens"
"Cladonia crispata (Ach.) Flot.","lichens"
"Cladonia cryptochlorophaea Asahina","lichens"
"Cladonia cyanipes (Sommerf.) Nyl.","lichens"
"Cladonia cyathomorpha Stirt. ex Walt.Watson","lichens"
"Cladonia dahliana H.Krist.","lichens"
"Cladonia decorticata (Flörke) Spreng.","lichens"
"Cladonia deformis (L.) Hoffm.","lichens"
"Cladonia digitata (L.) Hoffm.","lichens"
"Cladonia diversa Asperges","lichens"
"Cladonia ecmocyna Leight.","lichens"
"Cladonia fimbriata (L.) Fr.","lichens"
"Cladonia foliacea (Huds.) Willd.","lichens"
"Cladonia fragilissima Østh. & P.James","lichens"
"Cladonia furcata (Huds.) Schrad., 1794","lichens"
"Cladonia glauca Flörke","lichens"
"Cladonia gracilis (L.) Willd.","lichens"
"Cladonia grayi G.Merr. ex Sandst.","lichens"
"Cladonia humilis (With.) J.R.Laundon","lichens"
"Cladonia imbricarica Kristinsson","lichens"
"Cladonia incrassata Flörke","lichens"
"Cladonia luteoalba A.Wilson & Wheldon","lichens"
"Cladonia macilenta Hoffm.","lichens"
"Cladonia macroceras (Delise) Hav.","lichens"
"Cladonia macrophylla (Schaer.) Stenh.","lichens"
"Cladonia macrophyllodes Nyl.","lichens"
"Cladonia maxima (Asahina) Ahti","lichens"
"Cladonia merochlorophaea Asahina","lichens"
"Cladonia metacorallifera Asahina","lichens"
"Cladonia norvegica Tønsberg & Holien","lichens"
"Cladonia ochrochlora Flörke","lichens"
"Cladonia parasitica (Hoffm.) Hoffm.","lichens"
"Cladonia peziziformis (With.) J.R.Laundon","lichens"
"Cladonia phyllophora Hoffm.","lichens"
"Cladonia pleurota (Flörke) Schaer.","lichens"
"Cladonia pocillum (Ach.) Grognot","lichens"
"Cladonia polycarpoides Nyl.","lichens"
"Cladonia polydactyla (Flörke) Spreng.","lichens"
"Cladonia portentosa (Dufour) Coem.","lichens"
"Cladonia pyxidata (L.) Hoffm.","lichens"
"Cladonia ramulosa (With.) J.R.Laundon","lichens"
"Cladonia rangiferina (L.) Weber ex F.H.Wigg.","lichens"
"Cladonia rangiformis Hoffm.","lichens"
"Cladonia rei Schaer.","lichens"
"Cladonia scabriuscula (Delise) Nyl.","lichens"
"Cladonia squamosa Hoffm.","lichens"
